
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 2.09e+00
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      100

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  2.0858851e+00  3.0475418e+00   3.31e-01     0.0       0       0
     1  6.7109744e-01  2.1537453e+00   9.92e-02     0.0     118       0
     2  4.3577330e-01  4.0465299e-01   5.27e-02     0.0     250       0
     3  3.6940997e-01  2.8981391e-01   3.81e-02     0.0     211       0
     4  3.4567409e-01  2.2327404e-01   3.53e-02     0.0     197       0
     5  2.9439515e-01  2.1019352e-01   3.18e-02     0.0     158       0
     6  2.7172051e-01  3.1804062e-01   3.20e-02     0.0     125       0
     7  2.3601317e-01  2.0094812e-01   2.80e-02    -0.3     155       0
     8  2.2430767e-01  1.0894235e-01   2.23e-02     0.0     140       0
     9  2.1604348e-01  1.0640102e-01   2.16e-02     0.0     131       0
    10  2.0351839e-01  2.0879540e-01   2.54e-02     0.0     122       0
    11  1.9426356e-01  1.1850945e-01   2.09e-02    -0.3     127       0
    12  1.9000621e-01  8.2734098e-02   1.88e-02     0.0     123       0
    13  1.8210670e-01  7.7535262e-02   1.79e-02     0.0     120       0
    14  1.7656287e-01  2.5832793e-01   2.55e-02    -0.3     113       0
    15  1.6035128e-01  6.6961704e-02   1.62e-02    -0.3     121       0
    16  1.5756905e-01  6.0768341e-02   1.55e-02     0.0     116       0
    17  1.4966076e-01  5.4274086e-02   1.45e-02     0.0     112       0
    18  1.4425427e-01  3.5149906e-01   2.53e-02     0.0      89       0
    19  1.1096167e-01  3.1623842e-01   2.49e-02    -0.3     108       0
    20  9.5462139e-02  6.0582464e-02   1.09e-02     0.0     117       0
    21  9.1555576e-02  7.3319130e-02   1.13e-02     0.0     110       0
    22  8.8673916e-02  3.7335108e-02   9.15e-03     0.0     105       0
    23  8.5131237e-02  9.5375794e-02   1.16e-02     0.0     100       0
    24  8.3953278e-02  6.3991122e-02   9.89e-03    -0.3     102       0
    25  8.0600177e-02  5.3441482e-02   9.25e-03     0.0     101       0
    26  7.9098243e-02  2.8409115e-02   7.93e-03     0.0     100       0
    27  7.7237519e-02  2.2959368e-02   7.50e-03     0.0      99       0
    28  6.7367951e-02  1.0755016e-01   1.03e-02     0.0      95       0
    29  6.0629023e-02  1.1109272e-01   1.06e-02    -0.3      99       0
    30  5.7760578e-02  1.7844075e-02   5.79e-03     0.0     100       0
    31  5.6473677e-02  1.5737021e-02   5.54e-03     0.0      98       0
    32  5.3680029e-02  3.3855315e-02   6.12e-03     0.0      97       0
    33  5.2351734e-02  4.1500247e-02   6.46e-03    -0.3      98       0
    34  5.1298685e-02  3.7322622e-02   6.06e-03     0.0      98       0
    35  4.9904375e-02  3.1235245e-02   5.73e-03     0.0      98       0
    36  4.8861658e-02  2.0514369e-02   5.11e-03     0.0      96       0
    37  4.7833592e-02  1.3911107e-02   4.71e-03     0.0      97       0
    38  4.5298111e-02  3.6712828e-02   5.54e-03     0.0      97       0
    39  4.3641216e-02  2.5126382e-02   4.94e-03    -0.3      98       0
    40  4.2782673e-02  1.4921446e-02   4.35e-03     0.0      97       0
    41  4.1645925e-02  1.2026949e-02   4.10e-03     0.0      98       0
    42  4.0563004e-02  5.6114463e-02   5.91e-03     0.0      94       0
    43  3.6595309e-02  1.9922877e-02   4.12e-03    -0.3      98       0
    44  3.5909382e-02  1.2278751e-02   3.66e-03     0.0      96       0
    45  3.4714613e-02  9.4614982e-03   3.40e-03     0.0      96       0
    46  3.2551499e-02  5.0329681e-02   4.90e-03     0.0      94       0
    47  2.8103781e-02  4.9939748e-02   4.89e-03    -0.3     101       0
    48  2.6413852e-02  9.6026994e-03   2.76e-03     0.0      97       0
    49  2.5748417e-02  7.6983089e-03   2.59e-03     0.0      97       0
    50  2.4607123e-02  1.1896843e-02   2.67e-03     0.0      95       0
    51  2.4566186e-02  4.8631105e-02   4.41e-03    -0.3      93       0
    52  2.2911584e-02  1.0292913e-02   2.47e-03    -0.3      93       0
    53  2.2395848e-02  5.8433925e-03   2.20e-03     0.0      94       0
    54  2.2011878e-02  6.8278490e-03   2.22e-03     0.0      94       0
    55  1.6551596e-02  1.8103907e-02   2.29e-03     0.0      91       0
    56  1.6495939e-02  1.6832252e-02   2.25e-03    -0.3      93       0
    57  1.5610290e-02  4.9109821e-03   1.57e-03     0.0      91       0
    58  1.5289893e-02  5.0429313e-03   1.57e-03     0.0      91       0
    59  1.4922043e-02  4.3743131e-03   1.49e-03     0.0      91       0
    60  1.3648226e-02  1.5011747e-02   1.87e-03     0.0      89       0
    61  1.2771318e-02  1.3963345e-02   1.80e-03    -0.3      90       0
