
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 4.80e+01
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      100

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  4.8027981e+01  2.8141581e+00   1.62e+02     0.0       0       0
     1  4.0682477e+01  7.5320628e+00   2.02e+02    -0.3      20       0
     2  1.7811562e+01  6.8459185e+00   6.35e+01    -0.3     136       0
     3  1.3314847e+01  8.7347323e+00   3.98e+01     0.0     182       0
     4  1.0994598e+01  7.0897671e+00   3.10e+01     0.0     182       0
     5  9.6007447e+00  7.1846962e+00   2.36e+01     0.0     164       0
     6  8.3625964e+00  7.0907104e+00   2.16e+01     0.0     160       0
     7  7.2705283e+00  1.1269777e+01   2.09e+01     0.0     138       0
     8  6.7168124e+00  9.0637389e+00   1.90e+01    -0.3     161       0
     9  6.2781435e+00  8.7564432e+00   1.58e+01     0.0     152       0
    10  6.0345638e+00  6.5912950e+00   1.37e+01     0.0     150       0
    11  5.6811253e+00  7.8791072e+00   1.35e+01     0.0     136       0
    12  5.3532297e+00  1.3832491e+01   1.76e+01     0.0     122       0
    13  4.7301328e+00  8.0650589e+00   1.15e+01    -0.3     145       0
    14  4.5841002e+00  5.9843681e+00   9.79e+00     0.0     135       0
    15  4.4385183e+00  6.7949478e+00   9.66e+00     0.0     126       0
    16  4.1819559e+00  1.4637425e+01   1.25e+01     0.0     119       0
    17  3.9210903e+00  7.9189133e+00   8.90e+00    -0.3     129       0
    18  3.8390722e+00  6.0589805e+00   7.97e+00     0.0     123       0
    19  3.7582381e+00  6.4217819e+00   7.80e+00     0.0     122       0
    20  3.5269540e+00  1.5495711e+01   1.00e+01     0.0     117       0
    21  3.3968605e+00  7.5867614e+00   7.35e+00    -0.3     127       0
    22  3.3364651e+00  6.1181927e+00   6.76e+00     0.0     119       0
    23  3.2808611e+00  6.2017357e+00   6.60e+00     0.0     117       0
    24  3.1631419e+00  1.4810879e+01   8.42e+00     0.0     113       0
    25  3.0698200e+00  6.9378719e+00   6.33e+00    -0.3     119       0
    26  3.0309294e+00  6.4147058e+00   6.10e+00     0.0     118       0
    27  2.9668415e+00  6.2563002e+00   5.89e+00     0.0     115       0
    28  2.8955867e+00  1.8991859e+01   8.27e+00    -0.3     113       0
    29  2.7791591e+00  6.7011562e+00   5.64e+00    -0.3     120       0
    30  2.7477638e+00  6.6207489e+00   5.51e+00     0.0     116       0
    31  2.6743253e+00  6.3934094e+00   5.27e+00     0.0     112       0
    32  2.6353437e+00  2.6845167e+01   8.47e+00    -0.3     109       0
    33  2.4234541e+00  9.4467284e+00   5.42e+00    -0.3     118       0
    34  2.3711124e+00  7.7515925e+00   4.95e+00     0.0     112       0
    35  2.3363927e+00  6.5815252e+00   4.65e+00     0.0     108       0
    36  2.2514940e+00  1.4520116e+01   5.41e+00     0.0     107       0
    37  2.2144783e+00  8.7283922e+00   4.68e+00    -0.3     107       0
    38  2.1867747e+00  9.3804473e+00   4.67e+00     0.0     106       0
    39  2.1599144e+00  7.1957378e+00   4.34e+00     0.0     106       0
    40  2.1246244e+00  1.5169452e+01   5.14e+00     0.0     105       0
    41  2.0966833e+00  1.0336819e+01   4.53e+00    -0.3     103       0
    42  2.0679143e+00  9.9149477e+00   4.43e+00     0.0     104       0
    43  2.0473691e+00  6.7486019e+00   4.04e+00     0.0     102       0
    44  2.0095531e+00  1.0526440e+01   4.36e+00     0.0     103       0
    45  1.9907445e+00  1.5562438e+01   4.72e+00    -0.3     101       0
    46  1.9480951e+00  1.7606942e+01   4.86e+00    -0.3     105       0
    47  1.9130545e+00  7.0988593e+00   3.80e+00     0.0     102       0
    48  1.8990949e+00  7.2422520e+00   3.78e+00     0.0     102       0
    49  1.7833871e+00  8.0793878e+00   3.60e+00     0.0     100       0
    50  1.7350260e+00  4.3664198e+01   6.17e+00    -0.3     101       0
    51  1.6387298e+00  1.0690578e+01   3.57e+00    -0.3     104       0
    52  1.6170710e+00  7.7795523e+00   3.29e+00     0.0     101       0
    53  1.5982059e+00  7.8556971e+00   3.21e+00     0.0     100       0
    54  1.5054221e+00  2.3419728e+01   3.85e+00     0.0      95       0
    55  1.5002082e+00  1.9457200e+01   3.61e+00    -0.3      97       0
    56  1.4598179e+00  1.6015696e+01   3.37e+00     0.0     104       0
    57  1.4391912e+00  8.4525882e+00   2.89e+00     0.0      97       0
    58  1.4284453e+00  8.7444774e+00   2.88e+00     0.0      97       0
    59  1.3410493e+00  1.0356447e+01   2.79e+00     0.0      95       0
    60  1.3151618e+00  2.5009963e+01   3.55e+00    -0.3      96       0
    61  1.3096668e+00  2.1978345e+01   3.27e+00    -0.3      94       0
    62  1.2774294e+00  1.2727957e+01   2.85e+00     0.0      96       0
    63  1.2645958e+00  7.0959372e+00   2.53e+00     0.0      95       0
    64  1.2528534e+00  7.9570373e+00   2.56e+00     0.0      95       0
    65  1.1290527e+00  1.8081715e+01   2.80e+00     0.0      89       0
    66  1.1274285e+00  2.9952425e+01   3.51e+00    -0.3      93       0
    67  1.0905754e+00  8.7622825e+00   2.33e+00     0.0      93       0
    68  1.0793634e+00  6.6471186e+00   2.22e+00     0.0      93       0
    69  1.0685918e+00  6.1192700e+00   2.16e+00     0.0      93       0
    70  9.5218251e-01  2.8128679e+01   3.05e+00     0.0      90       0
    71  9.3876247e-01  2.0902378e+01   2.70e+00    -0.3      91       0
    72  9.1145741e-01  9.3700899e+00   2.10e+00     0.0      92       0
    73  9.0002960e-01  6.0662156e+00   1.89e+00     0.0      90       0
    74  8.9185689e-01  5.0330852e+00   1.82e+00     0.0      90       0
    75  8.5101080e-01  7.4807599e+00   1.83e+00     0.0      91       0
    76  8.4448693e-01  1.6821777e+01   2.34e+00    -0.3      92       0
    77  8.3297150e-01  1.1615989e+01   2.01e+00     0.0      91       0
    78  8.1855739e-01  6.1220998e+00   1.75e+00     0.0      92       0
    79  8.1233843e-01  4.6358950e+00   1.66e+00     0.0      91       0
    80  7.9332970e-01  5.5969626e+00   1.68e+00     0.0      91       0
    81  7.7626529e-01  1.2820995e+01   1.96e+00    -0.3      91       0
    82  7.5764780e-01  5.7799023e+00   1.64e+00    -0.3      93       0
    83  7.5144942e-01  4.0958224e+00   1.53e+00     0.0      91       0
    84  7.4006030e-01  4.8662691e+00   1.55e+00     0.0      91       0
    85  7.3660752e-01  2.7565812e+01   2.44e+00     0.0      89       0
    86  6.5358521e-01  1.1343930e+01   1.79e+00    -0.3     102       0
    87  6.2777725e-01  4.3384054e+00   1.34e+00     0.0      92       0
    88  6.2107339e-01  3.4221319e+00   1.28e+00     0.0      93       0
    89  6.1127304e-01  3.2434039e+00   1.24e+00     0.0      91       0
    90  5.5920575e-01  7.1834932e+00   1.37e+00     0.0      89       0
    91  5.5885349e-01  2.0475017e+01   1.93e+00    -0.3      90       0
    92  5.3654596e-01  7.1036063e+00   1.32e+00    -0.3      92       0
    93  5.2786523e-01  3.1418975e+00   1.09e+00     0.0      91       0
    94  5.2353210e-01  2.5022178e+00   1.06e+00     0.0      91       0
    95  5.1045381e-01  3.0805865e+00   1.05e+00     0.0      91       0
    96  5.0095989e-01  9.4456134e+00   1.37e+00    -0.3      91       0
    97  4.8996094e-01  2.8517953e+00   1.02e+00    -0.3      91       0
    98  4.8616656e-01  2.8059760e+00   1.00e+00     0.0      91       0
    99  4.7426233e-01  2.4759658e+00   9.61e-01     0.0      91       0
   100  4.6164725e-01  1.0520197e+01   1.34e+00    -0.3      90       0

 ERROR EXIT -- Too many iterations

 Products with A     :     153        Total time   (secs) :     0.5
 Products with A'    :     101        Project time (secs) :     0.1
 Newton iterations   :       0        Mat-vec time (secs) :     0.1
 Line search its     :      68        Subspace iterations :       0

