
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :    12800      No. columns           :    34341
 Initial tau           : 1.84e+05      Two-norm of b         : 2.85e+03
 Optimality tol        : 1.00e-04      Target one-norm of x  : 1.84e+05
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  2.8471838e+03  1.2251044e+01   2.69e+02     0.0       0       0
     1  2.8363974e+03  1.2290028e+01   2.68e+02     0.0   32007       0
     2  6.6006561e+02  1.4515709e+01   2.32e+01     0.0   16025       0
     3  5.5526106e+02  1.2986275e+01   1.62e+01     0.0   13501       0
     4  3.6007657e+02  2.1443015e+01   1.06e+01     0.0    9166       0
     5  4.4312895e+02  6.9108815e+01   4.00e+01     0.0    8596       0
     6  3.6483125e+02  8.9438798e+01   3.38e+01     0.0    9623       0
     7  2.4239343e+02  2.4312645e+01   6.31e+00     0.0    9672       0
     8  2.3245393e+02  1.4632115e+01   4.43e+00     0.0    9096       0
     9  2.1984918e+02  1.4920631e+01   4.13e+00     0.0    8581       0
    10  1.7915129e+02  1.0805999e+02   1.06e+01     0.0    7048       0
    11  1.9182712e+02  1.5390409e+02   1.72e+01    -0.3    8037       0
    12  1.5589156e+02  7.5134796e+01   6.36e+00     0.0    8579       0
    13  1.5137925e+02  1.6570379e+01   2.48e+00     0.0    8150       0
    14  1.4910433e+02  1.6181453e+01   2.40e+00     0.0    7987       0
    15  1.3079142e+02  5.7726466e+01   3.87e+00     0.0    7244       0
    16  1.3108426e+02  8.7460929e+01   5.31e+00    -0.3    7578       0
    17  1.2634879e+02  8.2425435e+01   4.74e+00     0.0    7642       0
    18  1.2285925e+02  1.9365602e+01   1.96e+00     0.0    7561       0
    19  1.2188179e+02  1.9460030e+01   1.94e+00     0.0    7523       0
    20  1.1714157e+02  1.7052994e+01   1.74e+00     0.0    7380       0
    21  1.1529112e+02  8.4304316e+01   4.12e+00    -0.3    7417       0
    22  1.1621443e+02  9.5883020e+01   4.54e+00    -0.3    7402       0
    23  1.1128713e+02  2.6324628e+01   1.94e+00     0.0    7392       0
    24  1.1050349e+02  1.8661081e+01   1.66e+00     0.0    7388       0
    25  1.0894395e+02  1.9234213e+01   1.65e+00     0.0    7353       0
    26  9.7931267e+01  1.6378874e+02   4.98e+00    -0.3    6736       0
    27  9.8598874e+01  2.1024833e+02   6.46e+00    -0.3    7085       0
    28  8.8173083e+01  4.4288645e+01   1.75e+00     0.0    7620       0
    29  8.7462831e+01  2.1807902e+01   1.27e+00     0.0    7381       0
    30  8.6810822e+01  2.1528258e+01   1.25e+00     0.0    7272       0
    31  8.2876039e+01  6.5069950e+01   1.98e+00     0.0    7033       0
    32  8.3562980e+01  2.0448993e+02   4.62e+00    -0.3    7191       0
    33  8.2873291e+01  1.6747711e+02   3.88e+00     0.0    7157       0
    34  8.0519075e+01  2.3056793e+01   1.15e+00     0.0    7204       0
    35  8.0250538e+01  2.3132335e+01   1.15e+00     0.0    7171       0
    36  7.8867367e+01  2.3518575e+01   1.13e+00     0.0    7094       0
    37  7.6653782e+01  2.1561368e+02   4.12e+00    -0.3    7108       0
    38  7.5472932e+01  7.4327803e+01   1.84e+00    -0.3    7288       0
    39  7.4200817e+01  3.5273366e+01   1.22e+00     0.0    7227       0
    40  7.3931461e+01  2.3640852e+01   1.04e+00     0.0    7194       0
    41  7.3062593e+01  2.4982187e+01   1.04e+00     0.0    7125       0
    42  7.2512225e+01  1.3994099e+02   2.62e+00    -0.3    6970       0
    43  7.1350379e+01  1.8061587e+02   3.14e+00    -0.3    7103       0
    44  6.8277123e+01  2.4394425e+01   9.40e-01     0.0    7172       0
    45  6.8092372e+01  2.4557733e+01   9.39e-01     0.0    7098       0
    46  6.6996413e+01  2.5015064e+01   9.23e-01     0.0    6983       0
    47  6.7406174e+01  2.3434687e+02   3.49e+00    -0.3    6913       0
    48  6.4903766e+01  9.4796589e+01   1.68e+00    -0.3    7382       0
    49  6.4006552e+01  4.3811953e+01   1.08e+00     0.0    7238       0
    50  6.3715947e+01  2.5287557e+01   8.66e-01     0.0    7150       0
    51  6.3215050e+01  2.8838256e+01   8.95e-01     0.0    7023       0
    52  6.2991662e+01  1.3367675e+02   2.01e+00    -0.3    6990       0
    53  6.2691670e+01  8.5479787e+01   1.48e+00    -0.3    6940       0
    54  6.2074869e+01  2.6019678e+01   8.44e-01     0.0    6995       0
    55  6.1936844e+01  2.6287810e+01   8.44e-01     0.0    6989       0
    56  6.1192451e+01  2.6403478e+01   8.32e-01     0.0    6959       0
