
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :    12800      No. columns           :    73051
 Initial tau           : 2.21e+05      Two-norm of b         : 4.17e+03
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.21e+05
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  4.1665772e+03  7.1370453e+00   2.81e+02     0.0       0       0
     1  4.1081122e+03  7.1684126e+00   2.75e+02     0.0   71357       0
     2  1.7073305e+03  1.2843757e+01   9.29e+01     0.0   41852       0
     3  1.3374609e+03  1.0497805e+01   5.48e+01     0.0   35735       0
     4  1.1397100e+03  9.0368077e+00   3.72e+01     0.0   27482       0
     5  9.6240807e+02  3.1046170e+01   7.50e+01     0.0   20846       0
     6  1.1597185e+03  6.5869251e+01   2.04e+02     0.0   17434       0
     7  9.2734977e+02  5.8815215e+01   1.24e+02     0.0   21558       0
     8  7.8369670e+02  7.6403729e+00   1.87e+01     0.0   19823       0
     9  7.6536765e+02  7.4377875e+00   1.79e+01     0.0   18326       0
    10  6.9805973e+02  9.9835136e+00   1.84e+01     0.0   15359       0
    11  6.7535974e+02  7.3581910e+01   8.15e+01    -0.3   13307       0
    12  6.3074936e+02  2.8742022e+01   3.24e+01    -0.3   15075       0
    13  6.1462236e+02  1.0111808e+01   1.50e+01     0.0   14578       0
    14  6.0425964e+02  1.4598491e+01   1.85e+01     0.0   13777       0
    15  5.8806527e+02  6.7992923e+01   5.93e+01     0.0   12849       0
    16  5.7958266e+02  2.4577321e+01   2.48e+01    -0.3   13001       0
    17  5.7476808e+02  8.1309874e+00   1.21e+01     0.0   12906       0
    18  5.6870755e+02  1.1275265e+01   1.43e+01     0.0   12679       0
    19  5.5019937e+02  1.0946712e+02   8.06e+01     0.0   11775       0
    20  5.4450553e+02  8.5848749e+01   6.33e+01    -0.3   11967       0
    21  5.3423629e+02  8.7302667e+00   1.12e+01     0.0   12061       0
    22  5.3237809e+02  5.3344845e+00   9.00e+00     0.0   11951       0
    23  5.1487379e+02  1.3557428e+01   1.35e+01     0.0   11385       0
    24  5.0912995e+02  7.8471268e+01   5.12e+01    -0.3   11422       0
    25  5.0338721e+02  2.0914703e+01   1.72e+01    -0.3   11763       0
    26  5.0004424e+02  4.9975795e+00   8.02e+00     0.0   11707       0
    27  4.9717708e+02  8.3105269e+00   9.85e+00     0.0   11473       0
    28  4.8475395e+02  6.2254494e+01   3.81e+01     0.0   10719       0
    29  4.9830563e+02  1.5451344e+02   9.19e+01    -0.3   10864       0
    30  4.7846506e+02  3.8536630e+01   2.50e+01     0.0   11046       0
    31  4.7665966e+02  5.0499623e+00   7.57e+00     0.0   10904       0
    32  4.7550574e+02  5.0399279e+00   7.54e+00     0.0   10833       0
    33  4.5776654e+02  1.3410450e+02   6.75e+01     0.0    9238       0
    34  4.5266237e+02  1.3675916e+02   6.77e+01    -0.3   10300       0
    35  4.3909359e+02  2.4695744e+01   1.51e+01     0.0   10768       0
    36  4.3758988e+02  6.2333368e+00   7.01e+00     0.0   10494       0
    37  4.3535467e+02  8.1411549e+00   7.88e+00     0.0   10251       0
    38  4.3112223e+02  1.6977263e+01   1.16e+01     0.0    9908       0
    39  4.3422779e+02  1.0037638e+02   4.72e+01    -0.3    9807       0
    40  4.2843270e+02  3.3287505e+01   1.82e+01    -0.3    9830       0
    41  4.2754895e+02  6.7266221e+00   7.16e+00     0.0    9820       0
    42  4.2712513e+02  4.8199866e+00   6.36e+00     0.0    9788       0
    43  4.1946602e+02  5.0691362e+01   2.45e+01     0.0    9328       0
