
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :     6400      No. columns           :    34341
 Initial tau           : 2.03e+05      Two-norm of b         : 1.54e+04
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.03e+05
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  1.5400372e+04  1.8117029e+01   1.06e+04     0.0       0       0
     1  1.4135203e+04  1.9278507e+01   9.58e+03     0.0   33588       0
     2  5.3867939e+03  9.8129765e+00   7.02e+02     0.0   34251       0
     3  5.2823584e+03  1.0162900e+01   7.04e+02     0.0   34288       0
     4  2.6132881e+03  1.5669837e+01   3.11e+02     0.0   30870       0
     5  4.3307998e+03  4.8775986e+01   1.98e+03    -0.3   31233       0
     6  2.8801398e+03  3.5679431e+01   8.41e+02     0.0   34307       0
     7  2.3691280e+03  1.6477730e+01   2.47e+02     0.0   34313       0
     8  2.3459314e+03  1.6561047e+01   2.44e+02     0.0   34308       0
     9  2.4769807e+03  7.2820505e+01   1.23e+03     0.0   22572       0
    10  1.6899533e+03  6.8541502e+01   4.81e+02    -0.3   23374       0
    11  1.6017183e+03  2.8595579e+01   2.08e+02     0.0   34097       0
    12  1.5827885e+03  1.7166322e+01   1.29e+02     0.0   28176       0
    13  1.5611512e+03  1.6989495e+01   1.26e+02     0.0   25879       0
    14  1.4433279e+03  7.1481321e+01   3.73e+02     0.0   21940       0
    15  1.4515315e+03  8.2530501e+01   4.65e+02    -0.3   24183       0
    16  1.3923483e+03  1.6095296e+01   9.64e+01     0.0   23386       0
    17  1.3877194e+03  1.5642985e+01   9.49e+01     0.0   22669       0
    18  1.3527992e+03  1.5752098e+01   9.15e+01     0.0   21278       0
    19  1.3117848e+03  5.5712838e+01   2.48e+02    -0.3   21288       0
    20  1.3564274e+03  6.9944308e+01   3.45e+02    -0.3   23394       0
    21  1.2606735e+03  1.6038579e+01   8.00e+01     0.0   25850       0
    22  1.2566136e+03  1.5695955e+01   7.95e+01     0.0   23296       0
    23  1.2417929e+03  1.5616548e+01   7.82e+01     0.0   21378       0
    24  1.2037215e+03  1.2145685e+02   4.27e+02    -0.3   16840       0
    25  1.0814187e+03  3.8526258e+01   1.33e+02    -0.3   20569       0
    26  1.0624585e+03  1.5592832e+01   5.74e+01     0.0   30483       0
    27  1.0585079e+03  1.4975768e+01   5.69e+01     0.0   23676       0
    28  1.0459498e+03  1.5311969e+01   5.57e+01     0.0   19308       0
    29  1.0404364e+03  3.2026376e+01   1.05e+02    -0.3   19572       0
    30  1.0413906e+03  4.9818433e+01   1.42e+02    -0.3   18965       0
    31  1.0294849e+03  2.2376043e+01   7.49e+01     0.0   20273       0
    32  1.0268484e+03  1.4925314e+01   5.37e+01     0.0   18891       0
