
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      200      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 1.56e-01
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :      600

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  1.5600644e-01  1.2322352e-01   6.16e-03     0.0       0       0
     1  1.4232580e-01  1.0033033e-01   4.93e-03    -0.3     139       0
     2  1.3441668e-01  8.0952291e-02   4.18e-03     0.0     445       0
     3  1.2510972e-01  6.1226332e-02   3.13e-03     0.0     458       0
     4  1.1953570e-01  3.7452030e-02   2.04e-03     0.0     472       0
     5  1.1281426e-01  3.6633013e-02   1.98e-03     0.0     482       0
     6  1.0601289e-01  9.2710798e-02   4.83e-03     0.0     500       0
     7  9.1627180e-02  2.4293151e-02   1.39e-03    -0.3     501       0
     8  8.9879711e-02  1.6594959e-02   1.02e-03     0.0     499       0
     9  8.3646944e-02  1.4630941e-02   9.13e-04     0.0     504       0
    10  6.8611105e-02  6.8201079e-02   3.45e-03     0.0     503       0
    11  7.3220270e-02  9.5349537e-02   4.60e-03    -0.3     503       0
    12  5.7789316e-02  1.4804166e-02   8.11e-04     0.0     498       0
    13  5.6832794e-02  9.9548366e-03   5.52e-04     0.0     499       0
    14  5.6343815e-02  9.8477639e-03   5.50e-04     0.0     496       0
    15  4.9507853e-02  1.0211146e-02   6.71e-04     0.0     460       0
    16  4.8024327e-02  2.1971630e-02   1.21e-03    -0.3     464       0
    17  4.9798435e-02  3.5427952e-02   1.94e-03    -0.3     481       0
    18  4.5979344e-02  6.0309958e-03   4.33e-04     0.0     470       0
    19  4.5717899e-02  5.5038762e-03   4.11e-04     0.0     470       0
    20  4.5229255e-02  4.9968835e-03   3.82e-04     0.0     463       0
    21  4.2091989e-02  5.9441549e-03   3.88e-04     0.0     411       0
    22  4.3236893e-02  2.9710254e-02   1.54e-03    -0.3     413       0
    23  4.0444533e-02  5.6670511e-03   3.97e-04    -0.3     431       0
    24  4.0270090e-02  4.4268075e-03   3.29e-04     0.0     427       0
    25  4.0128326e-02  4.4201088e-03   3.28e-04     0.0     424       0
    26  3.8727791e-02  2.7648582e-02   1.48e-03     0.0     317       0
    27  3.5258295e-02  9.7719809e-03   5.55e-04    -0.3     365       0
    28  3.4736137e-02  5.1467288e-03   3.41e-04     0.0     356       0
    29  3.4548744e-02  3.1825388e-03   2.38e-04     0.0     358       0
    30  3.4359176e-02  3.8594198e-03   2.76e-04     0.0     359       0
    31  3.4092333e-02  6.7779856e-03   4.14e-04     0.0     353       0
    32  3.4456665e-02  9.9003595e-03   5.96e-04    -0.3     347       0
    33  3.3739301e-02  2.6589539e-03   2.16e-04     0.0     344       0
    34  3.3681648e-02  3.1281750e-03   2.42e-04     0.0     344       0
    35  3.3559282e-02  3.1020752e-03   2.41e-04     0.0     342       0
    36  3.3620200e-02  2.0090389e-02   1.06e-03     0.0     292       0
    37  3.1885028e-02  4.2548697e-03   3.13e-04    -0.3     329       0
    38  3.1518930e-02  3.2822533e-03   2.55e-04     0.0     322       0
    39  3.1283699e-02  2.8435984e-03   2.34e-04     0.0     323       0
    40  3.0737167e-02  4.2729613e-03   2.93e-04     0.0     319       0
    41  3.0607214e-02  2.6581580e-03   2.21e-04    -0.3     318       0
    42  3.0540936e-02  2.0540361e-03   1.87e-04     0.0     316       0
    43  3.0465025e-02  2.3401711e-03   2.03e-04     0.0     313       0
    44  3.0218079e-02  3.8694174e-03   2.69e-04     0.0     301       0
    45  3.0190188e-02  3.5492308e-03   2.65e-04    -0.3     302       0
    46  3.0071222e-02  1.9572328e-03   1.77e-04     0.0     300       0
    47  3.0033340e-02  2.2164919e-03   1.92e-04     0.0     299       0
    48  2.9974234e-02  2.1482919e-03   1.88e-04     0.0     295       0
    49  2.9166867e-02  1.6737046e-02   9.18e-04     0.0     231       0
    50  2.9103554e-02  1.9588908e-02   1.02e-03    -0.3     291       0
