
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 2.11e+00
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :     1200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  2.1136008e+00  3.4732985e+00   3.88e-01     0.0       0       0
     1  6.4308845e-01  2.2476930e+00   1.11e-01     0.0     139       0
     2  4.1171405e-01  6.1590317e-01   6.21e-02     0.0     236       0
     3  3.5975111e-01  3.6990126e-01   4.32e-02     0.0     199       0
     4  3.3016105e-01  2.5278886e-01   3.70e-02     0.0     174       0
     5  2.6837727e-01  2.5929643e-01   3.24e-02     0.0     143       0
     6  3.2518274e-01  6.0456065e-01   4.62e-02     0.0     121       0
     7  2.3670702e-01  2.2384245e-01   2.71e-02    -0.3     164       0
     8  2.1113192e-01  1.1724077e-01   2.18e-02     0.0     152       0
     9  2.0499176e-01  9.0009889e-02   1.99e-02     0.0     143       0
    10  1.9305071e-01  8.5913710e-02   1.88e-02     0.0     126       0
    11  1.7853687e-01  1.6963365e-01   2.10e-02     0.0     111       0
    12  1.6684717e-01  1.2305583e-01   1.90e-02    -0.3     129       0
    13  1.6235557e-01  7.3217621e-02   1.60e-02     0.0     122       0
    14  1.5914879e-01  5.3433243e-02   1.48e-02     0.0     118       0
    15  1.5238491e-01  9.9093686e-02   1.63e-02     0.0     111       0
    16  1.4916577e-01  5.8008415e-02   1.44e-02    -0.3     117       0
    17  1.4662822e-01  6.5664463e-02   1.44e-02     0.0     112       0
    18  1.4407919e-01  5.2174761e-02   1.37e-02     0.0     113       0
    19  1.4073256e-01  8.9559608e-02   1.49e-02     0.0     110       0
    20  1.3839452e-01  6.9619162e-02   1.42e-02    -0.3     112       0
    21  1.3543741e-01  5.6382863e-02   1.31e-02     0.0     113       0
    22  1.3373047e-01  4.1764112e-02   1.24e-02     0.0     110       0
    23  1.2995378e-01  5.2973960e-02   1.26e-02     0.0     109       0
    24  1.3142068e-01  1.9369217e-01   1.96e-02    -0.3     106       0
    25  1.3040278e-01  2.2611206e-01   1.98e-02    -0.3     114       0
    26  1.1733441e-01  3.7051113e-02   1.11e-02     0.0     119       0
    27  1.1608317e-01  3.5817798e-02   1.08e-02     0.0     110       0
    28  1.1248703e-01  3.5575256e-02   1.06e-02     0.0     107       0
    29  1.0775228e-01  2.0664932e-01   1.71e-02    -0.3     101       0
    30  9.6706359e-02  5.3759046e-02   1.08e-02    -0.3     117       0
    31  9.3724002e-02  2.5964284e-02   8.75e-03     0.0     112       0
    32  9.2362802e-02  3.0722858e-02   8.87e-03     0.0     105       0
    33  8.8387284e-02  2.8014607e-02   8.27e-03     0.0     102       0
    34  8.6689179e-02  4.9907397e-02   9.41e-03    -0.3     104       0
    35  8.8662207e-02  1.0711160e-01   1.17e-02     0.0      97       0
    36  8.3357062e-02  4.3797876e-02   8.89e-03     0.0     108       0
    37  8.1860092e-02  2.2567248e-02   7.59e-03     0.0     101       0
    38  8.1007095e-02  2.3554694e-02   7.59e-03     0.0     100       0
    39  6.4961374e-02  3.1696135e-02   6.85e-03     0.0      93       0
    40  7.3779393e-02  1.6224712e-01   1.29e-02    -0.3      97       0
    41  7.5878629e-02  1.4023181e-01   1.20e-02     0.0     102       0
    42  6.0314644e-02  3.2823798e-02   6.63e-03     0.0     107       0
    43  5.9041634e-02  1.7663019e-02   5.66e-03     0.0     101       0
    44  5.8273890e-02  1.8199923e-02   5.61e-03     0.0      96       0
    45  5.2155581e-02  1.9174986e-02   5.20e-03     0.0      92       0
    46  5.0631392e-02  3.0587720e-02   5.46e-03    -0.3      94       0
    47  5.5663831e-02  9.2373713e-02   8.70e-03     0.0      99       0
    48  4.8643792e-02  3.6249682e-02   5.71e-03     0.0      97       0
    49  4.6781827e-02  1.0386194e-02   4.30e-03     0.0      92       0
    50  4.6331436e-02  1.2299976e-02   4.37e-03     0.0      92       0
    51  4.3894725e-02  1.0641394e-02   4.11e-03     0.0      91       0
    52  4.1027961e-02  5.3069881e-02   5.78e-03    -0.3      93       0
    53  3.8220102e-02  2.1310849e-02   4.26e-03    -0.3      94       0
    54  3.7286802e-02  1.4361925e-02   3.79e-03     0.0      92       0
    55  3.6809699e-02  7.4984951e-03   3.40e-03     0.0      92       0
    56  3.5317009e-02  1.5256068e-02   3.64e-03     0.0      93       0
    57  3.4764998e-02  1.1951978e-02   3.45e-03    -0.3      93       0
    58  3.4263393e-02  1.9782869e-02   3.77e-03     0.0      94       0
    59  3.3662722e-02  8.2231828e-03   3.17e-03     0.0      92       0
    60  3.3233180e-02  1.0268673e-02   3.24e-03     0.0      93       0
    61  3.2650157e-02  6.4832499e-03   3.00e-03     0.0      92       0
    62  3.2333192e-02  3.6844362e-02   4.35e-03     0.0      94       0
    63  3.3076771e-02  4.2272155e-02   4.61e-03    -0.3      89       0
    64  2.9950550e-02  1.0009986e-02   2.98e-03     0.0      97       0
    65  2.9630098e-02  6.5861996e-03   2.77e-03     0.0      93       0
    66  2.9029322e-02  7.5088081e-03   2.76e-03     0.0      93       0
    67  2.5516621e-02  4.5048659e-02   3.96e-03     0.0      87       0
    68  2.8049243e-02  7.2067399e-02   5.66e-03    -0.3      97       0
    69  2.2620582e-02  1.2478152e-02   2.49e-03     0.0      95       0
    70  2.1385544e-02  8.1700636e-03   2.23e-03     0.0      92       0
    71  2.1053862e-02  5.0782499e-03   2.03e-03     0.0      92       0
    72  2.0032148e-02  9.0875514e-03   2.10e-03     0.0      91       0
    73  2.0333446e-02  1.7548425e-02   2.41e-03     0.0      89       0
    74  1.8281175e-02  6.0955704e-03   1.87e-03    -0.3      92       0
    75  1.7810841e-02  3.8672221e-03   1.68e-03     0.0      91       0
    76  1.7476474e-02  5.0447833e-03   1.70e-03     0.0      91       0
    77  1.6825979e-02  3.9487720e-03   1.59e-03     0.0      91       0
    78  1.6560392e-02  7.9207256e-03   1.76e-03    -0.3      91       0
    79  1.6312483e-02  4.4865013e-03   1.57e-03     0.0      91       0
    80  1.6043833e-02  5.9688078e-03   1.63e-03     0.0      91       0
    81  1.5832851e-02  3.0139818e-03   1.46e-03     0.0      91       0
    82  1.5549441e-02  5.2310887e-03   1.55e-03     0.0      91       0
    83  1.5454446e-02  1.3391497e-02   1.90e-03     0.0      88       0
    84  1.5050289e-02  1.0976373e-02   1.77e-03    -0.3      90       0
    85  1.4469670e-02  3.0011569e-03   1.35e-03     0.0      91       0
    86  1.4348086e-02  3.3755942e-03   1.36e-03     0.0      91       0
    87  1.3254423e-02  2.6403249e-03   1.24e-03     0.0      90       0
    88  1.2577699e-02  1.8871532e-02   1.87e-03    -0.3      90       0
    89  1.1351038e-02  6.4648807e-03   1.30e-03    -0.3      92       0
    90  1.0907495e-02  3.8051268e-03   1.11e-03     0.0      90       0
    91  1.0741353e-02  2.3070482e-03   1.02e-03     0.0      90       0
    92  1.0389803e-02  3.6597751e-03   1.04e-03     0.0      88       0
    93  1.0364589e-02  1.0250483e-02   1.36e-03    -0.3      87       0
    94  1.0069472e-02  9.2203925e-03   1.26e-03    -0.3      84       0
    95  9.6136554e-03  2.2453793e-03   9.18e-04     0.0      86       0
    96  9.5276411e-03  2.2204158e-03   9.06e-04     0.0      86       0
    97  9.1177713e-03  1.7154665e-03   8.47e-04     0.0      87       0
    98  8.6667072e-03  1.0393176e-02   1.20e-03    -0.3      83       0
    99  8.1922783e-03  2.0973800e-03   8.02e-04    -0.3      85       0
   100  8.0536775e-03  2.4890337e-03   8.01e-04     0.0      84       0
   101  7.9424860e-03  1.7078445e-03   7.51e-04     0.0      84       0
   102  7.2624205e-03  3.5302798e-03   7.69e-04     0.0      82       0
   103  7.4352624e-03  8.2209387e-03   1.02e-03    -0.3      83       0
   104  7.1756676e-03  6.8971648e-03   9.11e-04     0.0      82       0
   105  6.8072903e-03  1.7340784e-03   6.60e-04     0.0      82       0
   106  6.7446069e-03  1.5651174e-03   6.43e-04     0.0      82       0
   107  6.5052218e-03  1.2634126e-03   6.07e-04     0.0      79       0
   108  6.3222484e-03  1.2367566e-02   1.02e-03    -0.3      77       0
   109  5.4460127e-03  4.2911599e-03   6.86e-04    -0.3      79       0
   110  5.1473346e-03  8.4403892e-04   4.79e-04     0.0      78       0
   111  5.0701875e-03  1.0938882e-03   4.84e-04     0.0      78       0
   112  4.9267648e-03  1.5157519e-03   4.85e-04     0.0      76       0
   113  4.8776908e-03  6.7447922e-03   7.35e-04     0.0      75       0
   114  4.4598412e-03  1.8749359e-03   4.72e-04    -0.3      72       0
   115  4.3868971e-03  9.2906859e-04   4.16e-04     0.0      72       0
   116  4.3132705e-03  1.2399404e-03   4.22e-04     0.0      72       0
   117  3.9769288e-03  2.0650529e-03   4.32e-04     0.0      72       0
   118  3.9657095e-03  4.2922254e-03   5.36e-04    -0.3      72       0
   119  3.7923292e-03  1.2591952e-03   3.83e-04     0.0      72       0
   120  3.7357026e-03  1.0314043e-03   3.65e-04     0.0      72       0
   121  3.6906017e-03  7.8551949e-04   3.49e-04     0.0      72       0
   122  3.1675207e-03  2.0585180e-03   3.57e-04     0.0      64       0
   123  3.5406791e-03  4.8266082e-03   5.19e-04    -0.3      66       0
   124  3.1814755e-03  3.5125231e-03   4.28e-04     0.0      63       0
   125  2.9481477e-03  8.4372980e-04   2.93e-04     0.0      68       0
   126  2.9175526e-03  7.3885538e-04   2.83e-04     0.0      67       0
   127  2.8332031e-03  4.8676971e-04   2.62e-04     0.0      65       0
   128  2.4754306e-03  3.5687854e-03   3.52e-04     0.0      55       0
   129  2.5824036e-03  4.0492815e-03   4.14e-04    -0.3      54       0
   130  2.2151952e-03  1.0888851e-03   2.38e-04     0.0      54       0
   131  2.1314714e-03  4.0782979e-04   2.03e-04     0.0      54       0
   132  2.1057814e-03  3.2909590e-04   1.95e-04     0.0      53       0
   133  2.0194529e-03  5.8441699e-04   1.97e-04     0.0      51       0
   134  1.9815816e-03  1.5188388e-03   2.36e-04    -0.3      53       0
   135  1.8702092e-03  4.2839934e-04   1.81e-04    -0.3      50       0
   136  1.8453197e-03  3.2461461e-04   1.72e-04     0.0      50       0
   137  1.8054975e-03  3.6859661e-04   1.69e-04     0.0      50       0
   138  1.6498118e-03  8.5838202e-04   1.77e-04     0.0      48       0
   139  1.6527807e-03  1.3477854e-03   2.05e-04    -0.3      45       0
   140  1.5712401e-03  7.4368812e-04   1.68e-04     0.0      48       0
   141  1.5446242e-03  3.5985933e-04   1.48e-04     0.0      47       0
   142  1.5270618e-03  3.3365983e-04   1.45e-04     0.0      47       0
   143  1.3806130e-03  5.1436495e-04   1.40e-04     0.0      42       0
   144  1.4070925e-03  1.6615713e-03   1.96e-04    -0.3      41       0
   145  1.3637059e-03  1.1471522e-03   1.70e-04     0.0      40       0
   146  1.2917815e-03  4.0595054e-04   1.29e-04     0.0      40       0
   147  1.2800354e-03  2.7806320e-04   1.22e-04     0.0      40       0
   148  1.2334370e-03  2.9976531e-04   1.18e-04     0.0      40       0
   149  1.1861187e-03  2.9405601e-03   2.26e-04    -0.3      33       0
   150  1.0157170e-03  8.2739785e-04   1.30e-04    -0.3      34       0
   151  9.5810224e-04  3.1217573e-04   9.74e-05     0.0      33       0
   152  9.4116341e-04  2.8309248e-04   9.41e-05     0.0      33       0
   153  9.1896978e-04  2.0270841e-04   8.70e-05     0.0      33       0
   154  8.9081227e-04  7.6893671e-04   1.11e-04     0.0      32       0
   155  8.4923056e-04  2.0944415e-04   8.18e-05    -0.3      33       0
   156  8.3890152e-04  1.7269044e-04   7.90e-05     0.0      32       0
   157  8.2228124e-04  1.5530296e-04   7.65e-05     0.0      32       0
   158  7.3472022e-04  1.3845992e-03   1.24e-04     0.0      26       0
   159  7.4061945e-04  1.4874837e-03   1.33e-04    -0.3      28       0
   160  6.4545943e-04  2.2422691e-04   6.65e-05     0.0      27       0
   161  6.2889417e-04  1.5661022e-04   6.15e-05     0.0      27       0
   162  6.1979788e-04  1.0625049e-04   5.78e-05     0.0      27       0
   163  5.8626523e-04  1.2341227e-04   5.48e-05     0.0      25       0
   164  5.7594899e-04  2.7106636e-04   6.17e-05    -0.3      25       0
   165  5.7092254e-04  3.2952661e-04   6.35e-05     0.0      25       0
   166  5.5629261e-04  1.9862302e-04   5.65e-05     0.0      25       0
   167  5.4918625e-04  1.1169905e-04   5.16e-05     0.0      25       0
   168  5.4149862e-04  1.1448676e-04   5.11e-05     0.0      25       0
   169  4.8891044e-04  5.0336214e-04   6.39e-05     0.0      23       0
   170  4.9724844e-04  6.2335118e-04   7.10e-05    -0.3      22       0
   171  4.5496565e-04  1.6400419e-04   4.69e-05     0.0      22       0
   172  4.4682412e-04  1.0927452e-04   4.34e-05     0.0      22       0
   173  4.4076714e-04  1.0288167e-04   4.23e-05     0.0      22       0
   174  3.9954223e-04  1.1877553e-04   3.87e-05     0.0      20       0
