
 ==================================================================================
 SPGL1_SLIM v. 46  (Tue, 14 Jun 2011) based on v.1017
 ==================================================================================
 No. rows              :      120      No. columns           :      512
 Initial tau           : 2.00e+01      Two-norm of b         : 2.09e+00
 Optimality tol        : 1.00e-04      Target one-norm of x  : 2.00e+01
 Basis pursuit tol     : 1.00e-06      Maximum iterations    :     1200

  Iter      Objective   Relative Gap      gNorm   stepG    nnzX    nnzG
     0  2.0884273e+00  3.2325377e+00   3.52e-01     0.0       0       0
     1  6.2396857e-01  1.7032573e+00   8.01e-02     0.0     116       0
     2  3.9607058e-01  4.1006925e-01   5.05e-02     0.0     245       0
     3  3.4538714e-01  3.4720867e-01   4.05e-02     0.0     207       0
     4  3.2251535e-01  2.4660677e-01   3.54e-02     0.0     186       0
     5  2.6934612e-01  1.9266177e-01   2.85e-02     0.0     154       0
     6  2.9826751e-01  5.3521061e-01   4.36e-02     0.0     128       0
     7  2.3732481e-01  2.6079322e-01   2.86e-02    -0.3     163       0
     8  2.1309835e-01  1.0915558e-01   2.14e-02     0.0     158       0
     9  2.0791279e-01  1.1533538e-01   2.12e-02     0.0     142       0
    10  1.9912052e-01  8.1387180e-02   1.90e-02     0.0     130       0
    11  1.7481278e-01  2.2206385e-01   2.18e-02     0.0     105       0
    12  1.6341692e-01  1.0136758e-01   1.78e-02    -0.3     122       0
    13  1.5814996e-01  6.9516276e-02   1.52e-02     0.0     121       0
    14  1.5534620e-01  4.9539602e-02   1.42e-02     0.0     117       0
    15  1.5011375e-01  6.0788411e-02   1.42e-02     0.0     111       0
    16  1.4953118e-01  1.1240750e-01   1.69e-02    -0.3     107       0
    17  1.4196341e-01  7.6258024e-02   1.43e-02    -0.3     117       0
    18  1.3918386e-01  4.5181725e-02   1.28e-02     0.0     109       0
    19  1.3743545e-01  4.4522338e-02   1.27e-02     0.0     109       0
    20  1.1594267e-01  6.1194829e-02   1.20e-02     0.0      99       0
    21  1.1941354e-01  2.3379686e-01   1.99e-02    -0.3     101       0
    22  1.2133614e-01  1.5901485e-01   1.65e-02     0.0     110       0
    23  1.0732692e-01  4.3022447e-02   1.04e-02     0.0     114       0
    24  1.0548048e-01  3.2487563e-02   9.76e-03     0.0     105       0
    25  1.0411801e-01  3.1706972e-02   9.61e-03     0.0     102       0
    26  8.7447431e-02  6.3769666e-02   9.83e-03     0.0      95       0
